"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Curtidas,Compartilhamentos,Comentários,Salvamentos,Alcance,Seguimentos
18066183380166099,17841405730557330,monicametran,"Mônica Metran","Special day 🤍",0,"12/11/2025 16:26",https://www.instagram.com/p/DSJKqm8DfVP/,"Carrossel do Instagram",,Total,53807,604,16,46,13,17457,10
17906728698146217,17841400992525166,kabranquinho,"Kamila Branquinho","Nova fase de @monicametran 🌟
Uma loja incrível, como elas merecem! 
Assinada por @leoromanoarquitetura , a nova casa da Mônica Metran está um espetáculo de linda! Que delícia foi participar dessa inauguração 🤍",43,"12/11/2025 13:15",https://www.instagram.com/reel/DSI0VomkSBZ/,"Reel do Instagram",,Total,5396,137,3,15,0,,
18063582917559546,17841405730557330,monicametran,"Mônica Metran","Um novo capítulo começa agora.",24,"12/11/2025 10:00",https://www.instagram.com/reel/DSIdzlSiUsx/,"Reel do Instagram",,Total,7578,238,14,47,10,4365,4
17992621730889469,17841401765170156,laylamonteiro,"LAYLA MONTEIRO NAOUM","Ontem tive o prazer de prestigiar a inauguração da nova loja da @monicametran em Goiânia! 🤍✨ Um espaço elegante e atemporal assinado por @leoromanoarquitetura.

Para celebrar esse momento, escolhi um vestido minimalista com drapeados, combinado a uma seleção de joias que trouxe o brilho na medida certa! 💫",37,"12/11/2025 07:00",https://www.instagram.com/reel/DSIJEwXkcv4/,"Reel do Instagram",,Total,44878,1202,34,59,0,,
18032305817548943,17841401418730219,camilladurante,"Camilla Durante | Imagem e Estilo","Um novo momento de @monicametran ✨💎

Muito feliz em fazer parte dessa história. Vocês merecem todo sucesso! You rock @isadorametran 🤍",0,"12/10/2025 15:44",https://www.instagram.com/p/DSGhExXjn92/,"Carrossel do Instagram",,Total,15238,207,7,43,0,,
18084389692864139,17841400701760332,isadorametran,Isadora,"New era ✨

Um sonho realizado, nossa nova casa está pronta @monicametran. Esperamos vocês!",22,"12/10/2025 15:10",https://www.instagram.com/reel/DSGcayfDg3b/,"Reel do Instagram",,Total,13001,329,25,158,0,,
17933859605997065,17841405730557330,monicametran,"Mônica Metran","Aqui, a sua luz encontra corpo. 
Aqui, a sua presença ganha cor. 
Aqui, sua Aura Vive. 

Coleção Aura Viva.",22,"12/10/2025 07:00",https://www.instagram.com/reel/DSFlJH5D-MN/,"Reel do Instagram",,Total,4990,60,9,2,9,3654,1
18112890565592850,17841405730557330,monicametran,"Mônica Metran","São expressões de cores que tocam o corpo como quem o reconhece. Formas que acolhem, que sintetizam movimento. 

Conheça, Aura Viva.",0,"12/09/2025 14:30",https://www.instagram.com/p/DSDz5R6D8Ye/,"Carrossel do Instagram",,Total,20719,69,1,2,8,2946,0
18105455389655783,17841405730557330,monicametran,"Mônica Metran","Coleção Aura Viva, cada joia é uma declaração: delicada, intensa, inevitável. 

Fale conosco e saiba mais.",0,"12/08/2025 14:30",https://www.instagram.com/p/DSBPEEPD4Et/,"Carrossel do Instagram",,Total,19529,74,2,1,12,2237,0
17857438884511022,17841405730557330,monicametran,"Mônica Metran","Cada joia é uma declaração: delicada, intensa, inevitável — Coleção Aura Viva.",0,"12/08/2025 07:00",https://www.instagram.com/p/DSAbkUAj0ml/,"Carrossel do Instagram",,Total,18978,64,1,5,9,2338,0
17958991166882720,17841405730557330,monicametran,"Mônica Metran","Coleção Aura Viva traz, um gesto de arte que se atreve a sentir mais fundo, a brilhar mais perto e a celebrar tudo aquilo que torna você única.",0,"12/07/2025 13:00",https://www.instagram.com/p/DR-f5MAD3go/,"Carrossel do Instagram",,Total,18391,41,2,3,7,1760,1
18055520231324947,17841405730557330,monicametran,"Mônica Metran","Curvas que abraçam a alma. Luzes que conversam com seus gestos. 

Conheça, Aura Viva.",0,"12/07/2025 07:00",https://www.instagram.com/p/DR92zG2D3ed/,"Carrossel do Instagram",,Total,17625,125,5,4,26,2494,1
18147484528435836,17841405730557330,monicametran,"Mônica Metran","Coleção Aura Viva — são sussurros de brilho que tocam o corpo como quem o reconhece.",0,"12/06/2025 13:00",https://www.instagram.com/p/DR77G7Fj29q/,"Carrossel do Instagram",,Total,16338,60,0,6,13,1830,2
